Land;Stadt;Jahr;Kategorie;Merkmal;Sterbefaelle gesamt;Sterbefaelle männlich;Sterbefaelle weiblich
de-sh;Kiel;1988;Bevoelkerung;Sterbefaelle;3078;1412;1666
de-sh;Kiel;1989;Bevoelkerung;Sterbefaelle;3123;1409;1714
de-sh;Kiel;1990;Bevoelkerung;Sterbefaelle;3187;1465;1722
de-sh;Kiel;1991;Bevoelkerung;Sterbefaelle;3019;1474;1545
de-sh;Kiel;1992;Bevoelkerung;Sterbefaelle;2850;1317;1533
de-sh;Kiel;1993;Bevoelkerung;Sterbefaelle;2859;1318;1541
de-sh;Kiel;1994;Bevoelkerung;Sterbefaelle;2877;1291;1586
de-sh;Kiel;1995;Bevoelkerung;Sterbefaelle;2815;1282;1533
de-sh;Kiel;1996;Bevoelkerung;Sterbefaelle;2753;1226;1527
de-sh;Kiel;1997;Bevoelkerung;Sterbefaelle;2797;1251;1546
de-sh;Kiel;1998;Bevoelkerung;Sterbefaelle;2696;1307;1596
de-sh;Kiel;1999;Bevoelkerung;Sterbefaelle;2622;1202;1420
de-sh;Kiel;2000;Bevoelkerung;Sterbefaelle;2703;1208;1495
de-sh;Kiel;2001;Bevoelkerung;Sterbefaelle;2579;1217;1362
de-sh;Kiel;2002;Bevoelkerung;Sterbefaelle;2537;1213;1324
de-sh;Kiel;2003;Bevoelkerung;Sterbefaelle;2346;1094;1252
de-sh;Kiel;2004;Bevoelkerung;Sterbefaelle;2408;1088;1320
de-sh;Kiel;2005;Bevoelkerung;Sterbefaelle;2457;1090;1367
de-sh;Kiel;2006;Bevoelkerung;Sterbefaelle;2407;1094;1313
de-sh;Kiel;2007;Bevoelkerung;Sterbefaelle;2330;1106;1224
de-sh;Kiel;2008;Bevoelkerung;Sterbefaelle;2411;1111;1300
de-sh;Kiel;2009;Bevoelkerung;Sterbefaelle;2490;1133;1357
de-sh;Kiel;2010;Bevoelkerung;Sterbefaelle;2443;1150;1293
de-sh;Kiel;2011;Bevoelkerung;Sterbefaelle;2289;1078;1211
de-sh;Kiel;2012;Bevoelkerung;Sterbefaelle;2278;1067;1211
de-sh;Kiel;2013;Bevoelkerung;Sterbefaelle;2451;1147;1304
de-sh;Kiel;2014;Bevoelkerung;Sterbefaelle;2432;1197;1235
de-sh;Kiel;2015;Bevoelkerung;Sterbefaelle;2470;1188;1282
de-sh;Kiel;2016;Bevoelkerung;Sterbefaelle;2536;1255;1281
de-sh;Kiel;2017;Bevoelkerung;Sterbefaelle;2497;1175;1322
de-sh;Kiel;2018;Bevoelkerung;Sterbefaelle;2547;1267;1280
de-sh;Kiel;2019;Bevoelkerung;Sterbefaelle;2611;1314;1297
de-sh;Kiel;2020;Bevoelkerung;Sterbefaelle;2558;1247;1311
de-sh;Kiel;2021;Bevoelkerung;Sterbefaelle;2719;1357;1362
de-sh;Kiel;2022;Bevoelkerung;Sterbefaelle;3001;1487;1521
de-sh;Kiel;2023;Bevoelkerung;Sterbefaelle;2721;1338;1383
