Land;Stadt;Kategorie;Merkmal;Jahr;Einpendler;Auspendler
de-sh;Kiel;wirtschaft_arbeit;Berufspendler (svB);1994;42843;14391
de-sh;Kiel;wirtschaft_arbeit;Berufspendler (svB);1995;43427;14975
de-sh;Kiel;wirtschaft_arbeit;Berufspendler (svB);1996;45159;15400
de-sh;Kiel;wirtschaft_arbeit;Berufspendler (svB);1997;44420;15885
de-sh;Kiel;wirtschaft_arbeit;Berufspendler (svB);1998;44948;16001
de-sh;Kiel;wirtschaft_arbeit;Berufspendler (svB);1999;45114;17146
de-sh;Kiel;wirtschaft_arbeit;Berufspendler (svB);2000;46964;18401
de-sh;Kiel;wirtschaft_arbeit;Berufspendler (svB);2001;47716;19115
de-sh;Kiel;wirtschaft_arbeit;Berufspendler (svB);2002;47829;18487
de-sh;Kiel;wirtschaft_arbeit;Berufspendler (svB);2003;47415;17850
de-sh;Kiel;wirtschaft_arbeit;Berufspendler (svB);2004;47816;17927
de-sh;Kiel;wirtschaft_arbeit;Berufspendler (svB);2005;48417;17766
de-sh;Kiel;wirtschaft_arbeit;Berufspendler (svB);2006;49211;18399
de-sh;Kiel;wirtschaft_arbeit;Berufspendler (svB);2007;50151;19085
de-sh;Kiel;wirtschaft_arbeit;Berufspendler (svB);2008;51834;20227
de-sh;Kiel;wirtschaft_arbeit;Berufspendler (svB);2009;51647;21086
de-sh;Kiel;wirtschaft_arbeit;Berufspendler (svB);2010;51359;21322
de-sh;Kiel;wirtschaft_arbeit;Berufspendler (svB);2011;52095;21989
de-sh;Kiel;wirtschaft_arbeit;Berufspendler (svB);2012;53166;22737
de-sh;Kiel;wirtschaft_arbeit;Berufspendler (svB);2013;53519;23513
de-sh;Kiel;wirtschaft_arbeit;Berufspendler (svB);2014;57265;23829
de-sh;Kiel;wirtschaft_arbeit;Berufspendler (svB);2015;58525;24421
de-sh;Kiel;wirtschaft_arbeit;Berufspendler (svB);2016;59136;26267
de-sh;Kiel;wirtschaft_arbeit;Berufspendler (svB);2017;59605;26762
de-sh;Kiel;wirtschaft_arbeit;Berufspendler (svB);2018;60972;27444
de-sh;Kiel;wirtschaft_arbeit;Berufspendler (svB);2019;61487;27950
de-sh;Kiel;wirtschaft_arbeit;Berufspendler (svB);2020;61432;27913
de-sh;Kiel;wirtschaft_arbeit;Berufspendler (svB);2021;63143;29858
de-sh;Kiel;wirtschaft_arbeit;Berufspendler (svB);2022;64745;30513
de-sh;Kiel;wirtschaft_arbeit;Berufspendler (svB);2023;64380;30630
