Land;Stadt;Kategorie;Merkmal;Jahr;Insolvenzen
de-sh;Kiel;wirtschaft_arbeit;Unternehmensinsolvenzen;1987;76
de-sh;Kiel;wirtschaft_arbeit;Unternehmensinsolvenzen;1988;56
de-sh;Kiel;wirtschaft_arbeit;Unternehmensinsolvenzen;1989;58
de-sh;Kiel;wirtschaft_arbeit;Unternehmensinsolvenzen;1990;65
de-sh;Kiel;wirtschaft_arbeit;Unternehmensinsolvenzen;1991;46
de-sh;Kiel;wirtschaft_arbeit;Unternehmensinsolvenzen;1992;52
de-sh;Kiel;wirtschaft_arbeit;Unternehmensinsolvenzen;1993;89
de-sh;Kiel;wirtschaft_arbeit;Unternehmensinsolvenzen;1994;83
de-sh;Kiel;wirtschaft_arbeit;Unternehmensinsolvenzen;1995;120
de-sh;Kiel;wirtschaft_arbeit;Unternehmensinsolvenzen;1996;83
de-sh;Kiel;wirtschaft_arbeit;Unternehmensinsolvenzen;1997;93
de-sh;Kiel;wirtschaft_arbeit;Unternehmensinsolvenzen;1998;87
de-sh;Kiel;wirtschaft_arbeit;Unternehmensinsolvenzen;1999;69
de-sh;Kiel;wirtschaft_arbeit;Unternehmensinsolvenzen;2000;57
de-sh;Kiel;wirtschaft_arbeit;Unternehmensinsolvenzen;2001;90
de-sh;Kiel;wirtschaft_arbeit;Unternehmensinsolvenzen;2002;138
de-sh;Kiel;wirtschaft_arbeit;Unternehmensinsolvenzen;2004;117
de-sh;Kiel;wirtschaft_arbeit;Unternehmensinsolvenzen;2005;89
de-sh;Kiel;wirtschaft_arbeit;Unternehmensinsolvenzen;2006;122
de-sh;Kiel;wirtschaft_arbeit;Unternehmensinsolvenzen;2007;63
de-sh;Kiel;wirtschaft_arbeit;Unternehmensinsolvenzen;2008;100
de-sh;Kiel;wirtschaft_arbeit;Unternehmensinsolvenzen;2009;105
de-sh;Kiel;wirtschaft_arbeit;Unternehmensinsolvenzen;2010;94
de-sh;Kiel;wirtschaft_arbeit;Unternehmensinsolvenzen;2011;96
de-sh;Kiel;wirtschaft_arbeit;Unternehmensinsolvenzen;2012;79
de-sh;Kiel;wirtschaft_arbeit;Unternehmensinsolvenzen;2013;58
de-sh;Kiel;wirtschaft_arbeit;Unternehmensinsolvenzen;2014;74
de-sh;Kiel;wirtschaft_arbeit;Unternehmensinsolvenzen;2015;38
de-sh;Kiel;wirtschaft_arbeit;Unternehmensinsolvenzen;2016;59
de-sh;Kiel;wirtschaft_arbeit;Unternehmensinsolvenzen;2017;65
de-sh;Kiel;wirtschaft_arbeit;Unternehmensinsolvenzen;2018;48
de-sh;Kiel;wirtschaft_arbeit;Unternehmensinsolvenzen;2019;51
de-sh;Kiel;wirtschaft_arbeit;Unternehmensinsolvenzen;2020;36
de-sh;Kiel;wirtschaft_arbeit;Unternehmensinsolvenzen;2021;31
de-sh;Kiel;wirtschaft_arbeit;Unternehmensinsolvenzen;2022;39
de-sh;Kiel;wirtschaft_arbeit;Unternehmensinsolvenzen;2023;46
