Zeitreihe für Kiel
""
Direkte Klärschlammentsorgung in Kiel
""
"";Stoffliche Verwertung in der Landwirtschaft;;Übrige stoffliche Verwertung;;Thermische Entsorgung;;Sonstige Entsorgung;;Direkte Klärschlammentsorgung zusammen
Zeit;t Trockenmasse;%;t Trockenmasse;%;t Trockenmasse;%;t Trockenmasse;%;t Trockenmasse;%
2013;- ;- ;- ;- ;- ;- ;- ;- ;- ;- 
2014;- ;- ;- ;- ;- ;- ;- ;- ;- ;- 
2015;- ;- ;- ;- ;- ;- ;- ;- ;- ;- 
2016;- ;- ;- ;- ;- ;- ;- ;- ;- ;- 
2017;- ;- ;- ;- ;- ;- ;- ;- ;- ;- 
2018;- ;- ;- ;- ;- ;- ;- ;- ;- ;- 
2019;- ;- ;- ;- ;- ;- ;- ;- ;- ;- 
2020;- ;- ;- ;- ;- ;- ;- ;- ;- ;- 
2021;- ;- ;- ;- ;- ;- ;- ;- ;- ;- 
2022;- ;- ;- ;- ;- ;- ;- ;- ;- ;- 
""
Informationen zur Erhebung der Öffentlichen Abwasserentsorgung - Klärschlamm
Die Erhebung über Klärschlamm ist Teil der Erhebung über die öffentliche Abwasserentsorgung und wird jährlich bei Anstalten und Körperschaften sowie Unternehmen und anderen Einrichtungen durchgeführt, die Anlagen der öffentlichen Abwasserentsorgung betreiben. Sie dient dem regelmäßigen Überblick über den Verbleib des bei der Abwasserreinigung angefallenen Klärschlamms.
Aktueller Stand dieser Statistik:  2022.
""
© Statistisches Amt für Hamburg und Schleswig-Holstein 2025
