Datum;Feiertag
01.01.2000;Neujahr
21.04.2000;Karfreitag
23.04.2000;Ostern
24.04.2000;Ostermontag
01.06.2000;Christi Himmelfahrt
11.06.2000;Pfingsten
12.06.2000;Pfingstmontag
01.05.2000;Tag der Arbeit
03.10.2000;Tag der deutschen Einheit
24.12.2000;Heiligabend
25.12.2000;1. Weihnachtsfeiertag
26.12.2000;2. Weihnachtsfeiertag
31.12.2000;Silvester
01.01.2001;Neujahr
13.04.2001;Karfreitag
15.04.2001;Ostern
16.04.2001;Ostermontag
24.05.2001;Christi Himmelfahrt
03.06.2001;Pfingsten
04.06.2001;Pfingstmontag
01.05.2001;Tag der Arbeit
03.10.2001;Tag der deutschen Einheit
24.12.2001;Heiligabend
25.12.2001;1. Weihnachtsfeiertag
26.12.2001;2. Weihnachtsfeiertag
31.12.2001;Silvester
01.01.2002;Neujahr
29.03.2002;Karfreitag
31.03.2002;Ostern
01.04.2002;Ostermontag
09.05.2002;Christi Himmelfahrt
19.05.2002;Pfingsten
20.05.2002;Pfingstmontag
01.05.2002;Tag der Arbeit
03.10.2002;Tag der deutschen Einheit
24.12.2002;Heiligabend
25.12.2002;1. Weihnachtsfeiertag
26.12.2002;2. Weihnachtsfeiertag
31.12.2002;Silvester
01.01.2003;Neujahr
18.04.2003;Karfreitag
20.04.2003;Ostern
21.04.2003;Ostermontag
29.05.2003;Christi Himmelfahrt
08.06.2003;Pfingsten
09.06.2003;Pfingstmontag
01.05.2003;Tag der Arbeit
03.10.2003;Tag der deutschen Einheit
24.12.2003;Heiligabend
25.12.2003;1. Weihnachtsfeiertag
26.12.2003;2. Weihnachtsfeiertag
31.12.2003;Silvester
01.01.2004;Neujahr
09.04.2004;Karfreitag
11.04.2004;Ostern
12.04.2004;Ostermontag
20.05.2004;Christi Himmelfahrt
30.05.2004;Pfingsten
31.05.2004;Pfingstmontag
01.05.2004;Tag der Arbeit
03.10.2004;Tag der deutschen Einheit
24.12.2004;Heiligabend
25.12.2004;1. Weihnachtsfeiertag
26.12.2004;2. Weihnachtsfeiertag
31.12.2004;Silvester
01.01.2005;Neujahr
25.03.2005;Karfreitag
27.03.2005;Ostern
28.03.2005;Ostermontag
05.05.2005;Christi Himmelfahrt
15.05.2005;Pfingsten
16.05.2005;Pfingstmontag
01.05.2005;Tag der Arbeit
03.10.2005;Tag der deutschen Einheit
24.12.2005;Heiligabend
25.12.2005;1. Weihnachtsfeiertag
26.12.2005;2. Weihnachtsfeiertag
31.12.2005;Silvester
01.01.2006;Neujahr
14.04.2006;Karfreitag
16.04.2006;Ostern
17.04.2006;Ostermontag
25.05.2006;Christi Himmelfahrt
04.06.2006;Pfingsten
05.06.2006;Pfingstmontag
01.05.2006;Tag der Arbeit
03.10.2006;Tag der deutschen Einheit
24.12.2006;Heiligabend
25.12.2006;1. Weihnachtsfeiertag
26.12.2006;2. Weihnachtsfeiertag
31.12.2006;Silvester
01.01.2007;Neujahr
06.04.2007;Karfreitag
08.04.2007;Ostern
09.04.2007;Ostermontag
17.05.2007;Christi Himmelfahrt
27.05.2007;Pfingsten
28.05.2007;Pfingstmontag
01.05.2007;Tag der Arbeit
03.10.2007;Tag der deutschen Einheit
24.12.2007;Heiligabend
25.12.2007;1. Weihnachtsfeiertag
26.12.2007;2. Weihnachtsfeiertag
31.12.2007;Silvester
01.01.2008;Neujahr
21.03.2008;Karfreitag
23.03.2008;Ostern
24.03.2008;Ostermontag
01.05.2008;Christi Himmelfahrt
11.05.2008;Pfingsten
12.05.2008;Pfingstmontag
01.05.2008;Tag der Arbeit
03.10.2008;Tag der deutschen Einheit
24.12.2008;Heiligabend
25.12.2008;1. Weihnachtsfeiertag
26.12.2008;2. Weihnachtsfeiertag
31.12.2008;Silvester
01.01.2009;Neujahr
10.04.2009;Karfreitag
12.04.2009;Ostern
13.04.2009;Ostermontag
21.05.2009;Christi Himmelfahrt
31.05.2009;Pfingsten
01.06.2009;Pfingstmontag
01.05.2009;Tag der Arbeit
03.10.2009;Tag der deutschen Einheit
24.12.2009;Heiligabend
25.12.2009;1. Weihnachtsfeiertag
26.12.2009;2. Weihnachtsfeiertag
31.12.2009;Silvester
01.01.2010;Neujahr
02.04.2010;Karfreitag
04.04.2010;Ostern
05.04.2010;Ostermontag
13.05.2010;Christi Himmelfahrt
23.05.2010;Pfingsten
24.05.2010;Pfingstmontag
01.05.2010;Tag der Arbeit
03.10.2010;Tag der deutschen Einheit
24.12.2010;Heiligabend
25.12.2010;1. Weihnachtsfeiertag
26.12.2010;2. Weihnachtsfeiertag
31.12.2010;Silvester
01.01.2011;Neujahr
22.04.2011;Karfreitag
24.04.2011;Ostern
25.04.2011;Ostermontag
02.06.2011;Christi Himmelfahrt
12.06.2011;Pfingsten
13.06.2011;Pfingstmontag
01.05.2011;Tag der Arbeit
03.10.2011;Tag der deutschen Einheit
24.12.2011;Heiligabend
25.12.2011;1. Weihnachtsfeiertag
26.12.2011;2. Weihnachtsfeiertag
31.12.2011;Silvester
01.01.2012;Neujahr
06.04.2012;Karfreitag
08.04.2012;Ostern
09.04.2012;Ostermontag
17.05.2012;Christi Himmelfahrt
27.05.2012;Pfingsten
28.05.2012;Pfingstmontag
01.05.2012;Tag der Arbeit
03.10.2012;Tag der deutschen Einheit
24.12.2012;Heiligabend
25.12.2012;1. Weihnachtsfeiertag
26.12.2012;2. Weihnachtsfeiertag
31.12.2012;Silvester
01.01.2013;Neujahr
29.03.2013;Karfreitag
31.03.2013;Ostern
01.04.2013;Ostermontag
09.05.2013;Christi Himmelfahrt
19.05.2013;Pfingsten
20.05.2013;Pfingstmontag
01.05.2013;Tag der Arbeit
03.10.2013;Tag der deutschen Einheit
24.12.2013;Heiligabend
