statistics_code;statistics_label;time_code;time_label;time;1_variable_code;1_variable_label;1_variable_attribute_code;1_variable_attribute_label;2_variable_code;2_variable_label;2_variable_attribute_code;2_variable_attribute_label;value;value_unit;value_variable_code;value_variable_label;value_q
61121;Harmonisierter Verbraucherpreisindex;JAHR;Jahr;2013;MONAT;Monate;MONAT11;November;DINSG;Deutschland insgesamt;DG;Deutschland;1,6;Prozent;VRM002;Veränderungsrate zum Vorjahresmonat;e
61121;Harmonisierter Verbraucherpreisindex;JAHR;Jahr;2013;MONAT;Monate;MONAT11;November;DINSG;Deutschland insgesamt;DG;Deutschland;98,8;2015=100;PREIS3;Harmonisierter Verbraucherpreisindex;e
61121;Harmonisierter Verbraucherpreisindex;JAHR;Jahr;2013;MONAT;Monate;MONAT11;November;DINSG;Deutschland insgesamt;DG;Deutschland;0,2;Prozent;VRM001;Veränderungsrate zum Vormonat;e
61121;Harmonisierter Verbraucherpreisindex;JAHR;Jahr;2017;MONAT;Monate;MONAT06;Juni;DINSG;Deutschland insgesamt;DG;Deutschland;1,7;Prozent;VRM002;Veränderungsrate zum Vorjahresmonat;e
61121;Harmonisierter Verbraucherpreisindex;JAHR;Jahr;2017;MONAT;Monate;MONAT06;Juni;DINSG;Deutschland insgesamt;DG;Deutschland;102,3;2015=100;PREIS3;Harmonisierter Verbraucherpreisindex;e
61121;Harmonisierter Verbraucherpreisindex;JAHR;Jahr;2017;MONAT;Monate;MONAT06;Juni;DINSG;Deutschland insgesamt;DG;Deutschland;0,5;Prozent;VRM001;Veränderungsrate zum Vormonat;e
61121;Harmonisierter Verbraucherpreisindex;JAHR;Jahr;2014;MONAT;Monate;MONAT03;März;DINSG;Deutschland insgesamt;DG;Deutschland;0,7;Prozent;VRM002;Veränderungsrate zum Vorjahresmonat;e
61121;Harmonisierter Verbraucherpreisindex;JAHR;Jahr;2014;MONAT;Monate;MONAT03;März;DINSG;Deutschland insgesamt;DG;Deutschland;99,4;2015=100;PREIS3;Harmonisierter Verbraucherpreisindex;e
61121;Harmonisierter Verbraucherpreisindex;JAHR;Jahr;2014;MONAT;Monate;MONAT03;März;DINSG;Deutschland insgesamt;DG;Deutschland;0,2;Prozent;VRM001;Veränderungsrate zum Vormonat;e
61121;Harmonisierter Verbraucherpreisindex;JAHR;Jahr;2015;MONAT;Monate;MONAT10;Oktober;DINSG;Deutschland insgesamt;DG;Deutschland;1,2;Prozent;VRM002;Veränderungsrate zum Vorjahresmonat;e
61121;Harmonisierter Verbraucherpreisindex;JAHR;Jahr;2015;MONAT;Monate;MONAT10;Oktober;DINSG;Deutschland insgesamt;DG;Deutschland;100,5;2015=100;PREIS3;Harmonisierter Verbraucherpreisindex;e
61121;Harmonisierter Verbraucherpreisindex;JAHR;Jahr;2015;MONAT;Monate;MONAT10;Oktober;DINSG;Deutschland insgesamt;DG;Deutschland;0,0;Prozent;VRM001;Veränderungsrate zum Vormonat;e
61121;Harmonisierter Verbraucherpreisindex;JAHR;Jahr;2019;MONAT;Monate;MONAT05;Mai;DINSG;Deutschland insgesamt;DG;Deutschland;1,3;Prozent;VRM002;Veränderungsrate zum Vorjahresmonat;e
61121;Harmonisierter Verbraucherpreisindex;JAHR;Jahr;2019;MONAT;Monate;MONAT05;Mai;DINSG;Deutschland insgesamt;DG;Deutschland;105,7;2015=100;PREIS3;Harmonisierter Verbraucherpreisindex;e
61121;Harmonisierter Verbraucherpreisindex;JAHR;Jahr;2019;MONAT;Monate;MONAT05;Mai;DINSG;Deutschland insgesamt;DG;Deutschland;0,3;Prozent;VRM001;Veränderungsrate zum Vormonat;e
61121;Harmonisierter Verbraucherpreisindex;JAHR;Jahr;2016;MONAT;Monate;MONAT02;Februar;DINSG;Deutschland insgesamt;DG;Deutschland;-0,1;Prozent;VRM002;Veränderungsrate zum Vorjahresmonat;e
61121;Harmonisierter Verbraucherpreisindex;JAHR;Jahr;2016;MONAT;Monate;MONAT02;Februar;DINSG;Deutschland insgesamt;DG;Deutschland;98,9;2015=100;PREIS3;Harmonisierter Verbraucherpreisindex;e
61121;Harmonisierter Verbraucherpreisindex;JAHR;Jahr;2016;MONAT;Monate;MONAT02;Februar;DINSG;Deutschland insgesamt;DG;Deutschland;0,4;Prozent;VRM001;Veränderungsrate zum Vormonat;e
61121;Harmonisierter Verbraucherpreisindex;JAHR;Jahr;2017;MONAT;Monate;MONAT10;Oktober;DINSG;Deutschland insgesamt;DG;Deutschland;1,5;Prozent;VRM002;Veränderungsrate zum Vorjahresmonat;e
61121;Harmonisierter Verbraucherpreisindex;JAHR;Jahr;2017;MONAT;Monate;MONAT10;Oktober;DINSG;Deutschland insgesamt;DG;Deutschland;102,7;2015=100;PREIS3;Harmonisierter Verbraucherpreisindex;e
61121;Harmonisierter Verbraucherpreisindex;JAHR;Jahr;2017;MONAT;Monate;MONAT10;Oktober;DINSG;Deutschland insgesamt;DG;Deutschland;-0,3;Prozent;VRM001;Veränderungsrate zum Vormonat;e
