time;1_variable_attribute_code;1_variable_attribute_label;value;value_unit
2013;MONAT01;Januar;91,6;2020=100
2013;MONAT01;Januar;88;2020=100
2013;MONAT01;Januar;88,8;2020=100
2013;MONAT02;Februar;91,9;2020=100
2013;MONAT02;Februar;88;2020=100
2013;MONAT02;Februar;88,8;2020=100
2013;MONAT03;März;92;2020=100
2013;MONAT03;März;88,8;2020=100
2013;MONAT03;März;89,5;2020=100
2013;MONAT04;April;92,1;2020=100
2013;MONAT04;April;88,9;2020=100
2013;MONAT04;April;89,6;2020=100
2013;MONAT05;Mai;92,3;2020=100
2013;MONAT05;Mai;89,8;2020=100
2013;MONAT05;Mai;90,3;2020=100
2013;MONAT06;Juni;92,3;2020=100
2013;MONAT06;Juni;90,1;2020=100
2013;MONAT06;Juni;90,6;2020=100
2013;MONAT07;Juli;92,4;2020=100
2013;MONAT07;Juli;89,9;2020=100
2013;MONAT07;Juli;90,5;2020=100
2013;MONAT08;August;92,4;2020=100
2013;MONAT08;August;89,1;2020=100
2013;MONAT08;August;89,8;2020=100
2013;MONAT09;September;92,7;2020=100
2013;MONAT09;September;88,8;2020=100
2013;MONAT09;September;89,5;2020=100
2013;MONAT10;Oktober;92,8;2020=100
2013;MONAT10;Oktober;88,9;2020=100
2013;MONAT10;Oktober;89,6;2020=100
2013;MONAT11;November;92,9;2020=100
2013;MONAT11;November;89,2;2020=100
2013;MONAT11;November;89,9;2020=100
2013;MONAT12;Dezember;92,8;2020=100
2013;MONAT12;Dezember;90,6;2020=100
2013;MONAT12;Dezember;91;2020=100
2014;MONAT01;Januar;92,8;2020=100
2014;MONAT01;Januar;91,2;2020=100
2014;MONAT01;Januar;91,6;2020=100
2014;MONAT02;Februar;93;2020=100
2014;MONAT02;Februar;91,1;2020=100
2014;MONAT02;Februar;91,5;2020=100
2014;MONAT03;März;93,1;2020=100
2014;MONAT03;März;90,8;2020=100
2014;MONAT03;März;91,2;2020=100
2014;MONAT04;April;93,3;2020=100
2014;MONAT04;April;90,5;2020=100
2014;MONAT04;April;90,9;2020=100
2014;MONAT05;Mai;93,5;2020=100
2014;MONAT05;Mai;90,2;2020=100
2014;MONAT05;Mai;90,7;2020=100
2014;MONAT06;Juni;93,5;2020=100
2014;MONAT06;Juni;90,1;2020=100
2014;MONAT06;Juni;90,7;2020=100
2014;MONAT07;Juli;93,6;2020=100
2014;MONAT07;Juli;89,9;2020=100
2014;MONAT07;Juli;90,7;2020=100
2014;MONAT08;August;93,7;2020=100
2014;MONAT08;August;89,4;2020=100
2014;MONAT08;August;90,2;2020=100
2014;MONAT09;September;93,8;2020=100
2014;MONAT09;September;89,6;2020=100
2014;MONAT09;September;90,4;2020=100
2014;MONAT10;Oktober;94,1;2020=100
2014;MONAT10;Oktober;89,6;2020=100
2014;MONAT10;Oktober;90,4;2020=100
2014;MONAT11;November;94,1;2020=100
2014;MONAT11;November;89,2;2020=100
2014;MONAT11;November;90,1;2020=100
2014;MONAT12;Dezember;94,3;2020=100
2014;MONAT12;Dezember;89,6;2020=100
2014;MONAT12;Dezember;90,4;2020=100
2015;MONAT01;Januar;94,4;2020=100
2015;MONAT01;Januar;90,1;2020=100
2015;MONAT01;Januar;90,8;2020=100
2015;MONAT02;Februar;94,3;2020=100
2015;MONAT02;Februar;90,9;2020=100
2015;MONAT02;Februar;91,5;2020=100
2015;MONAT03;März;94,5;2020=100
2015;MONAT03;März;90,8;2020=100
2015;MONAT03;März;91,5;2020=100
2015;MONAT04;April;94,8;2020=100
2015;MONAT04;April;91,5;2020=100
2015;MONAT04;April;92,1;2020=100
2015;MONAT05;Mai;94,7;2020=100
2015;MONAT05;Mai;91,5;2020=100
2015;MONAT05;Mai;92;2020=100
2015;MONAT06;Juni;94,9;2020=100
2015;MONAT06;Juni;90,8;2020=100
2015;MONAT06;Juni;91,5;2020=100
2015;MONAT07;Juli;95;2020=100
2015;MONAT07;Juli;90,2;2020=100
2015;MONAT07;Juli;90,9;2020=100
2015;MONAT08;August;94,9;2020=100
2015;MONAT08;August;89,9;2020=100
2015;MONAT08;August;90,6;2020=100
2015;MONAT09;September;94,8;2020=100
2015;MONAT09;September;90,4;2020=100
2015;MONAT09;September;91;2020=100
2015;MONAT10;Oktober;94,9;2020=100
2015;MONAT10;Oktober;90,9;2020=100
2015;MONAT10;Oktober;91,4;2020=100
2015;MONAT11;November;94,9;2020=100
2015;MONAT11;November;90,9;2020=100
2015;MONAT11;November;91,4;2020=100
2015;MONAT12;Dezember;95;2020=100
2015;MONAT12;Dezember;90,6;2020=100
2015;MONAT12;Dezember;91,2;2020=100
