id,Datum,Umsatz,KielerWoche,Bewoelkung,Temperatur,Windgeschwindigkeit,Wettercode,ist_feiertag,feiertag_vortag,feiertag_folgetag,Jahr,Wettercode_fehlt,Warengruppe_Brot,Warengruppe_Brötchen,Warengruppe_Croissant,Warengruppe_Konditorei,Warengruppe_Kuchen,Warengruppe_Saisonbrot,Wochentag_Monday,Wochentag_Saturday,Wochentag_Sunday,Wochentag_Thursday,Wochentag_Tuesday,Wochentag_Wednesday,Monat_2,Monat_3,Monat_4,Monat_5,Monat_6,Monat_7,Monat_8,Monat_9,Monat_10,Monat_11,Monat_12,Jahreszeit_Herbst,Jahreszeit_Sommer,Jahreszeit_Winter,Feiertag_Heiligabend,Feiertag_Kein_Feiertag,Feiertag_Ostern,Feiertag_Pfingsten,Feiertag_Pfingstmontag,Feiertag_Silvester,Feiertag_Tag der Arbeit
1307011,2013-07-01,148.828353112183,0,6.0,17.8375,15.0,20.0,0,0,0,2013,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
1307013,2013-07-01,201.198425690037,0,6.0,17.8375,15.0,20.0,0,0,0,2013,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
1307015,2013-07-01,317.475874933038,0,6.0,17.8375,15.0,20.0,0,0,0,2013,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
1307012,2013-07-01,494.2585755048633,0,6.0,17.8375,15.0,20.0,0,0,0,2013,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
1307014,2013-07-01,65.890168799361,0,6.0,17.8375,15.0,20.0,0,0,0,2013,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
1307022,2013-07-02,494.2585755048633,0,3.0,17.3125,10.0,99.0,0,0,0,2013,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
1307023,2013-07-02,265.261253994438,0,3.0,17.3125,10.0,99.0,0,0,0,2013,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
1307021,2013-07-02,159.79375714468,0,3.0,17.3125,10.0,99.0,0,0,0,2013,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
1307025,2013-07-02,383.628681612577,0,3.0,17.3125,10.0,99.0,0,0,0,2013,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
1307024,2013-07-02,74.5439171827412,0,3.0,17.3125,10.0,99.0,0,0,0,2013,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
1307032,2013-07-03,427.343258749983,0,7.0,21.075,6.0,61.0,0,0,0,2013,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
1307033,2013-07-03,210.260241465493,0,7.0,21.075,6.0,61.0,0,0,0,2013,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
1307031,2013-07-03,111.885593514353,0,7.0,21.075,6.0,61.0,0,0,0,2013,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
1307034,2013-07-03,69.2627280649987,0,7.0,21.075,6.0,61.0,0,0,0,2013,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
1307035,2013-07-03,305.523072325318,0,7.0,21.075,6.0,61.0,0,0,0,2013,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
1307043,2013-07-04,190.686641378586,0,7.0,18.85,7.0,20.0,0,0,0,2013,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
1307045,2013-07-04,308.408167942149,0,7.0,18.85,7.0,20.0,0,0,0,2013,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
1307041,2013-07-04,168.864940979931,0,7.0,18.85,7.0,20.0,0,0,0,2013,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
1307044,2013-07-04,61.490175369225,0,7.0,18.85,7.0,20.0,0,0,0,2013,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
1307042,2013-07-04,454.859641347987,0,7.0,18.85,7.0,20.0,0,0,0,2013,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
1307055,2013-07-05,355.518770367742,0,5.0,19.975,12.0,99.0,0,0,0,2013,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
1307053,2013-07-05,181.644870215041,0,5.0,19.975,12.0,99.0,0,0,0,2013,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
1307051,2013-07-05,171.280754117955,0,5.0,19.975,12.0,99.0,0,0,0,2013,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
1307054,2013-07-05,86.7598614451924,0,5.0,19.975,12.0,99.0,0,0,0,2013,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
