Datum,KielerWoche,Bewoelkung,Temperatur,Wettercode,ist_feiertag,Warengruppe_Brot,Warengruppe_Brötchen,Warengruppe_Croissant,Warengruppe_Konditorei,Warengruppe_Kuchen,Warengruppe_Saisonbrot,Wochentag_Monday,Wochentag_Saturday,Wochentag_Sunday,Wochentag_Thursday,Wochentag_Tuesday,Wochentag_Wednesday,Jahreszeit_Herbst,Jahreszeit_Sommer,Jahreszeit_Winter,VPI_Backwaren
2013-07-01,0,6,17.8375,20,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,90.93333333
2013-07-01,0,6,17.8375,20,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,90.93333333
2013-07-01,0,6,17.8375,20,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,90.93333333
2013-07-01,0,6,17.8375,20,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,90.93333333
2013-07-01,0,6,17.8375,20,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,90.93333333
2013-07-02,0,3,17.3125,22,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,90.93333333
2013-07-02,0,3,17.3125,36,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,90.93333333
2013-07-02,0,3,17.3125,28,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,90.93333333
2013-07-02,0,3,17.3125,36,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,90.93333333
2013-07-02,0,3,17.3125,33,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,90.93333333
2013-07-03,0,7,21.075,61,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,90.93333333
2013-07-03,0,7,21.075,61,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,90.93333333
2013-07-03,0,7,21.075,61,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,90.93333333
2013-07-03,0,7,21.075,61,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,90.93333333
2013-07-03,0,7,21.075,61,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,90.93333333
2013-07-04,0,7,18.85,20,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,90.93333333
2013-07-04,0,7,18.85,20,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,90.93333333
2013-07-04,0,7,18.85,20,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,90.93333333
2013-07-04,0,7,18.85,20,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,90.93333333
2013-07-04,0,7,18.85,20,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,90.93333333
2013-07-05,0,5,19.975,22,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,90.93333333
2013-07-05,0,5,19.975,25,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,90.93333333
2013-07-05,0,5,19.975,25,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,90.93333333
2013-07-05,0,5,19.975,33,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,90.93333333
2013-07-05,0,5,19.975,11,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,90.93333333
2013-07-06,0,0,18.9625,30,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,90.93333333
2013-07-06,0,0,18.9625,11,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,90.93333333
2013-07-06,0,0,18.9625,22,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,90.93333333
2013-07-06,0,0,18.9625,22,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,90.93333333
2013-07-06,0,0,18.9625,22,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,90.93333333
2013-07-07,0,0,21.375,19,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,90.93333333
2013-07-07,0,0,21.375,30,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,90.93333333
2013-07-07,0,0,21.375,11,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,90.93333333
2013-07-07,0,0,21.375,19,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,90.93333333
2013-07-07,0,0,21.375,19,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,90.93333333
2013-07-08,0,0,22.725,5,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,90.93333333
2013-07-08,0,0,22.725,5,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,90.93333333
2013-07-08,0,0,22.725,5,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,90.93333333
2013-07-08,0,0,22.725,5,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,90.93333333
2013-07-08,0,0,22.725,5,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,90.93333333
2013-07-09,0,0,23.275,8,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,90.93333333
2013-07-09,0,0,23.275,5,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,90.93333333
2013-07-09,0,0,23.275,5,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,90.93333333
2013-07-09,0,0,23.275,16,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,90.93333333
2013-07-09,0,0,23.275,8,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,90.93333333
2013-07-10,0,2,19.6875,5,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,90.93333333
2013-07-10,0,2,19.6875,5,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,90.93333333
2013-07-10,0,2,19.6875,5,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,90.93333333
2013-07-10,0,2,19.6875,5,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,90.93333333
2013-07-10,0,2,19.6875,5,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,90.93333333
2013-07-11,0,0,21.375,5,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,90.93333333
2013-07-11,0,0,21.375,5,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,90.93333333
2013-07-11,0,0,21.375,5,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,90.93333333
2013-07-11,0,0,21.375,5,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,90.93333333
