Land;Stadt;Kategorie;Merkmal;Jahr;Brandeinsaetze;Brandschutzfehlalamierungen;Hilfeleistungen
de-sh;Kiel;gesetze_justiz;Feuerwehreinsaetze;1989;561;394;1960
de-sh;Kiel;gesetze_justiz;Feuerwehreinsaetze;1990;564;436;2009
de-sh;Kiel;gesetze_justiz;Feuerwehreinsaetze;1991;571;370;1640
de-sh;Kiel;gesetze_justiz;Feuerwehreinsaetze;1992;489;344;1577
de-sh;Kiel;gesetze_justiz;Feuerwehreinsaetze;1994;506;352;1547
de-sh;Kiel;gesetze_justiz;Feuerwehreinsaetze;1995;550;399;1682
de-sh;Kiel;gesetze_justiz;Feuerwehreinsaetze;1996;668;410;1783
de-sh;Kiel;gesetze_justiz;Feuerwehreinsaetze;1997;615;430;1803
de-sh;Kiel;gesetze_justiz;Feuerwehreinsaetze;1998;522;469;1700
de-sh;Kiel;gesetze_justiz;Feuerwehreinsaetze;1999;554;525;1940
de-sh;Kiel;gesetze_justiz;Feuerwehreinsaetze;2000;508;456;1782
de-sh;Kiel;gesetze_justiz;Feuerwehreinsaetze;2001;476;490;2001
de-sh;Kiel;gesetze_justiz;Feuerwehreinsaetze;2002;497;493;2519
de-sh;Kiel;gesetze_justiz;Feuerwehreinsaetze;2003;514;404;2470
de-sh;Kiel;gesetze_justiz;Feuerwehreinsaetze;2004;601;473;2475
de-sh;Kiel;gesetze_justiz;Feuerwehreinsaetze;2005;534;449;2231
de-sh;Kiel;gesetze_justiz;Feuerwehreinsaetze;2006;416;574;k.A.
de-sh;Kiel;gesetze_justiz;Feuerwehreinsaetze;2007;389;500;1599
de-sh;Kiel;gesetze_justiz;Feuerwehreinsaetze;2008;351;512;1549
de-sh;Kiel;gesetze_justiz;Feuerwehreinsaetze;2009;479;608;1492
de-sh;Kiel;gesetze_justiz;Feuerwehreinsaetze;2010;558;708;1730
de-sh;Kiel;gesetze_justiz;Feuerwehreinsaetze;2011;637;809;1717
de-sh;Kiel;gesetze_justiz;Feuerwehreinsaetze;2012;620;788;1606
de-sh;Kiel;gesetze_justiz;Feuerwehreinsaetze;2013;763;526;1946
de-sh;Kiel;gesetze_justiz;Feuerwehreinsaetze;2014;838;364;2015
de-sh;Kiel;gesetze_justiz;Feuerwehreinsaetze;2015;750;527;1934
de-sh;Kiel;gesetze_justiz;Feuerwehreinsaetze;2016;643;512;2006
de-sh;Kiel;gesetze_justiz;Feuerwehreinsaetze;2017;579;592;1727
de-sh;Kiel;gesetze_justiz;Feuerwehreinsaetze;2018;692;444;1859
de-sh;Kiel;gesetze_justiz;Feuerwehreinsaetze;2019;695;508;1880
de-sh;Kiel;gesetze_justiz;Feuerwehreinsaetze;2020;679;549;1666
de-sh;Kiel;gesetze_justiz;Feuerwehreinsaetze;2021;600;597;1340
de-sh;Kiel;gesetze_justiz;Feuerwehreinsaetze;2022;716;460;1380
de-sh;Kiel;gesetze_justiz;Feuerwehreinsaetze;2023;789;1036;1710
