Land;Stadt;Kategorie;Merkmal;Jahr;zoologisches museum;kunsthalle;warleberger hof;schifffahrtsmuseum
de-sh;Kiel;kultur_freizeit_sport_tourismus;Besucher;1995;15.266;42.612;41.780;99.375
de-sh;Kiel;kultur_freizeit_sport_tourismus;Besucher;1996;14.335;44.567;35.754;97.419
de-sh;Kiel;kultur_freizeit_sport_tourismus;Besucher;1997;22.856;36.897;33.790;90.736
de-sh;Kiel;kultur_freizeit_sport_tourismus;Besucher;1998;16.114;40.765;45.866;89.127
de-sh;Kiel;kultur_freizeit_sport_tourismus;Besucher;1999;12.333;34.613;24.097;61.969
de-sh;Kiel;kultur_freizeit_sport_tourismus;Besucher;2000;14.027;23.723;24.546;73.444
de-sh;Kiel;kultur_freizeit_sport_tourismus;Besucher;2001;22.611;30.531;42.189;70.787
de-sh;Kiel;kultur_freizeit_sport_tourismus;Besucher;2002;21.930;49.736;37.246;65.484
de-sh;Kiel;kultur_freizeit_sport_tourismus;Besucher;2003;23.014;31.643;27.860;59.243
de-sh;Kiel;kultur_freizeit_sport_tourismus;Besucher;2004;30.326;32.726;23.978;52.430
de-sh;Kiel;kultur_freizeit_sport_tourismus;Besucher;2005;20.298;41.163;22.293;33.266
de-sh;Kiel;kultur_freizeit_sport_tourismus;Besucher;2006;16.255;37.669;21.693;34.090
de-sh;Kiel;kultur_freizeit_sport_tourismus;Besucher;2007;16.399;37.190;18.389;33.772
de-sh;Kiel;kultur_freizeit_sport_tourismus;Besucher;2008;16.637;34.348;24.005;30.623
de-sh;Kiel;kultur_freizeit_sport_tourismus;Besucher;2009;11.723;41.389;13.796;31.318
de-sh;Kiel;kultur_freizeit_sport_tourismus;Besucher;2010;25.252;45.277;0;39.566
de-sh;Kiel;kultur_freizeit_sport_tourismus;Besucher;2011;20.823;32.375;27.907;0
de-sh;Kiel;kultur_freizeit_sport_tourismus;Besucher;2012;24.320;44.004;23.955;9.094
de-sh;Kiel;kultur_freizeit_sport_tourismus;Besucher;2013;22.622;27.319;25.889;0
de-sh;Kiel;kultur_freizeit_sport_tourismus;Besucher;2014;20.034;36.572;20.896;32.471
de-sh;Kiel;kultur_freizeit_sport_tourismus;Besucher;2015;19.549;35.082;17.061;31.661
de-sh;Kiel;kultur_freizeit_sport_tourismus;Besucher;2016;22.524;30.913;23.090;30.311
de-sh;Kiel;kultur_freizeit_sport_tourismus;Besucher;2017;27.529;42.350;16.629;31.531
de-sh;Kiel;kultur_freizeit_sport_tourismus;Besucher;2018;29728;43150;29205;37328
de-sh;Kiel;kultur_freizeit_sport_tourismus;Besucher;2019;45958;44406;26.124;32646
de-sh;Kiel;kultur_freizeit_sport_tourismus;Besucher;2020;13992;19956;16056;13697
de-sh;Kiel;kultur_freizeit_sport_tourismus;Besucher;2021;14229;17539;9569;15084
de-sh;Kiel;kultur_freizeit_sport_tourismus;Besucher;2022;23981;26521;18555;24730
de-sh;Kiel;kultur_freizeit_sport_tourismus;Besucher;2023;38188;22677;25654;36198
