Land;Stadt;Kategorie;Merkmal;Jahr;Buecher;Zeitschriften;Sonstige Medien
de-sh;Kiel;kultur_freizeit_sport_tourismus;Ausleihungen;1995;993244;56401;130269
de-sh;Kiel;kultur_freizeit_sport_tourismus;Ausleihungen;1996;973087;56642;152198
de-sh;Kiel;kultur_freizeit_sport_tourismus;Ausleihungen;1997;958305;57886;163821
de-sh;Kiel;kultur_freizeit_sport_tourismus;Ausleihungen;1998;1001334;65827;199329
de-sh;Kiel;kultur_freizeit_sport_tourismus;Ausleihungen;1999;946645;62691;223450
de-sh;Kiel;kultur_freizeit_sport_tourismus;Ausleihungen;2000;861418;61104;229531
de-sh;Kiel;kultur_freizeit_sport_tourismus;Ausleihungen;2001;934947;68159;292431
de-sh;Kiel;kultur_freizeit_sport_tourismus;Ausleihungen;2002;980939;67785;329368
de-sh;Kiel;kultur_freizeit_sport_tourismus;Ausleihungen;2003;924758;60250;344461
de-sh;Kiel;kultur_freizeit_sport_tourismus;Ausleihungen;2004;1012991;64929;401388
de-sh;Kiel;kultur_freizeit_sport_tourismus;Ausleihungen;2005;963548;61443;399276
de-sh;Kiel;kultur_freizeit_sport_tourismus;Ausleihungen;2006;933550;56109;418107
de-sh;Kiel;kultur_freizeit_sport_tourismus;Ausleihungen;2007;943861;55158;451221
de-sh;Kiel;kultur_freizeit_sport_tourismus;Ausleihungen;2008;937837;57502;482467
de-sh;Kiel;kultur_freizeit_sport_tourismus;Ausleihungen;2009;945436;55193;468831
de-sh;Kiel;kultur_freizeit_sport_tourismus;Ausleihungen;2010;914941;55221;475354
de-sh;Kiel;kultur_freizeit_sport_tourismus;Ausleihungen;2011;935159;54023;511308
de-sh;Kiel;kultur_freizeit_sport_tourismus;Ausleihungen;2012;909919;52858;519488
de-sh;Kiel;kultur_freizeit_sport_tourismus;Ausleihungen;2013;869417;51160;556310
de-sh;Kiel;kultur_freizeit_sport_tourismus;Ausleihungen;2014;855599;51382;559899
de-sh;Kiel;kultur_freizeit_sport_tourismus;Ausleihungen;2015;842692;49230;484299
de-sh;Kiel;kultur_freizeit_sport_tourismus;Ausleihungen;2016;840913;46674;467423
de-sh;Kiel;kultur_freizeit_sport_tourismus;Ausleihungen;2017;831679;43403;448053
de-sh;Kiel;kultur_freizeit_sport_tourismus;Ausleihungen;2018;803401;41054;397750
de-sh;Kiel;kultur_freizeit_sport_tourismus;Ausleihungen;2019;819108;37566;379740
de-sh;Kiel;kultur_freizeit_sport_tourismus;Ausleihungen;2020;554123;22587;243643
de-sh;Kiel;kultur_freizeit_sport_tourismus;Ausleihungen;2021;465288;17815;169763
de-sh;Kiel;kultur_freizeit_sport_tourismus;Ausleihungen;2022;654339;21530;223813
de-sh;Kiel;kultur_freizeit_sport_tourismus;Ausleihungen;2023;717141;21329;235959
